temp_component,sla_component,cost_component
4.115,0.0,0.1024
4.0,0.0,0.0512
4.04,0.0,0.1024
4.0,2.0,0.0256
4.08,0.0,0.0256
4.0,0.0,0.2048
4.0,0.0,0.0256
4.075,0.0,0.0256
4.155,0.0,0.1024
4.0,0.0,0.2048
4.0,0.0,0.0256
4.66,0.0,0.4096
4.075,0.0,0.2048
4.0,0.0,0.2048
4.04,0.0,0.2048
4.04,0.0,0.1024
4.0,0.0,0.0512
4.0,0.0,0.0256
4.0,0.0,0.2048
4.0,0.0,0.0256
4.08,0.0,0.0256
4.595000000000001,0.0,0.4096
4.115,0.0,0.0256
4.0,0.0,0.0512
4.0,0.0,0.0256
4.220000000000001,0.0,0.4096
4.0,0.0,0.0256
4.0,0.0,0.1024
4.04,0.0,0.2048
4.0,2.0,0.2048
4.0,0.0,0.4096
4.075,0.0,0.0256
4.075,0.0,0.0256
4.0,0.0,0.2048
4.195,2.0,0.0512
4.115,0.0,0.0512
4.0,0.0,0.1024
4.0,0.0,0.4096
4.155,0.0,0.1024
4.0,0.0,0.0512
4.0,0.0,0.0256
4.04,0.0,0.4096
4.2700000000000005,0.0,0.2048
4.0,0.0,0.0256
4.0,0.0,0.0256
4.0,0.0,0.0256
4.08,0.0,0.1024
4.0,0.0,0.0512
4.2250000000000005,0.0,0.4096
4.39,0.0,0.1024
4.0,0.0,0.0256
4.075,0.0,0.0512
4.6450000000000005,0.0,0.4096
4.075,0.0,0.1024
4.04,0.0,0.1024
4.0,0.0,0.0256
4.0,0.0,0.2048
4.0,0.0,0.1024
4.075,0.0,0.0256
4.075,0.0,0.1024
4.0,0.0,0.0512
4.08,0.0,0.1024
4.945,0.0,0.2048
4.075,0.0,0.0256
4.0,0.0,0.0256
4.0,0.0,0.2048
4.04,0.0,0.0256
4.0,0.0,0.1024
4.0,0.0,0.0256
4.0,0.0,0.4096
4.0,0.0,0.1024
4.0,0.0,0.4096
4.075,0.0,0.2048
4.59,0.0,0.1024
4.2299999999999995,0.0,0.2048
4.0,0.0,0.2048
4.2250000000000005,0.0,0.0512
4.115,0.0,0.4096
4.195,0.0,0.2048
4.19,0.0,0.0512
4.075,0.0,0.0512
4.0,0.0,0.2048
4.0,0.0,0.0256
4.825,0.0,0.2048
4.075,0.0,0.2048
4.0,0.0,0.1024
4.0,0.0,0.0512
4.0,0.0,0.0512
4.0,0.0,0.4096
4.04,0.0,0.2048
4.0,0.0,0.2048
4.0,0.0,0.1024
4.04,0.0,0.0256
4.9,0.0,0.1024
4.3100000000000005,0.0,0.2048
4.0,0.0,0.0256
4.115,0.0,0.2048
4.195,0.0,0.2048
4.0,0.0,0.2048
4.0,0.0,0.0256
