job_id,start_time,phase,duration_sec,arrival_time_scaled,cpu_percent,estimated_temp_raw,estimated_temp_smoothed,memory_requested_MB,action_id,action_name,deadline_sec,elapsed_sec,sla_violation,migration_cost,reward
233,12:37:24,baseline,41.000000,1.600000,12.500000,46.250000,46.936670,512.000000,-1,fifo,49.200000,0.013900,0,0.000000,-4.693667
205,12:37:24,baseline,47.000000,1.600000,56.200000,68.100000,51.169336,1024.000000,-1,fifo,56.400000,0.019801,0,0.000000,-5.116934
9,12:37:24,baseline,8.000000,1.700000,33.300000,56.650000,52.265469,512.000000,-1,fifo,9.600000,0.015859,0,0.000000,-5.226547
157,12:37:24,baseline,42.000000,1.700000,0.000000,40.000000,49.812375,256.000000,-1,fifo,50.400000,0.017066,0,0.000000,-4.981238
112,12:37:24,baseline,43.000000,1.800000,0.000000,40.000000,47.849900,4096.000000,-1,fifo,51.600000,0.013864,0,0.000000,-4.784990
467,12:37:25,baseline,27.000000,1.800000,0.000000,40.000000,46.279920,2048.000000,-1,fifo,32.400000,0.013996,0,0.000000,-4.627992
273,12:37:25,baseline,53.000000,1.900000,0.000000,40.000000,45.023936,512.000000,-1,fifo,63.600000,0.013889,0,0.000000,-4.502394
351,12:37:25,baseline,30.000000,1.900000,56.200000,68.100000,49.639149,1024.000000,-1,fifo,36.000000,0.017452,0,0.000000,-4.963915
418,12:37:25,baseline,22.000000,1.900000,25.000000,52.500000,50.211319,256.000000,-1,fifo,26.400000,0.021886,0,0.000000,-5.021132
170,12:37:25,baseline,53.000000,1.900000,6.200000,43.100000,48.789055,256.000000,-1,fifo,63.600000,0.021790,0,0.000000,-4.878906
353,12:37:25,baseline,57.000000,1.900000,0.000000,40.000000,47.031244,1024.000000,-1,fifo,68.400000,0.013858,0,0.000000,-4.703124
2,12:37:25,baseline,43.000000,2.000000,0.000000,40.000000,45.624995,1024.000000,-1,fifo,51.600000,0.013870,0,0.000000,-4.562500
5,12:37:25,baseline,37.000000,2.000000,0.000000,40.000000,44.499996,4096.000000,-1,fifo,44.400000,0.013892,0,0.000000,-4.450000
303,12:37:25,baseline,51.000000,2.000000,0.000000,40.000000,43.599997,1024.000000,-1,fifo,61.200000,0.014087,0,0.000000,-4.360000
57,12:37:25,baseline,50.000000,2.100000,18.800000,49.400000,44.759998,4096.000000,-1,fifo,60.000000,0.013882,0,0.000000,-4.476000
230,12:37:25,baseline,47.000000,2.100000,52.900000,66.450000,49.097998,512.000000,-1,fifo,56.400000,0.015739,0,0.000000,-4.909800
325,12:37:25,baseline,30.000000,2.100000,41.700000,60.850000,51.448398,256.000000,-1,fifo,36.000000,0.019881,0,0.000000,-5.144840
395,12:37:25,baseline,50.000000,2.300000,0.000000,40.000000,49.158719,512.000000,-1,fifo,60.000000,0.013864,0,0.000000,-4.915872
17,12:37:25,baseline,30.000000,2.300000,0.000000,40.000000,47.326975,2048.000000,-1,fifo,36.000000,0.016587,0,0.000000,-4.732698
65,12:37:25,baseline,46.000000,2.400000,0.000000,40.000000,45.861580,512.000000,-1,fifo,55.200000,0.013871,0,0.000000,-4.586158
306,12:37:26,baseline,28.000000,2.400000,0.000000,40.000000,44.689264,2048.000000,-1,fifo,33.600000,0.013869,0,0.000000,-4.468926
152,12:37:26,baseline,51.000000,2.500000,0.000000,40.000000,43.751411,1024.000000,-1,fifo,61.200000,0.015270,0,0.000000,-4.375141
299,12:37:26,baseline,38.000000,2.500000,0.000000,40.000000,43.001129,4096.000000,-1,fifo,45.600000,0.013860,0,0.000000,-4.300113
129,12:37:26,baseline,29.000000,2.500000,37.500000,58.750000,46.150903,1024.000000,-1,fifo,34.800000,0.013869,0,0.000000,-4.615090
379,12:37:26,baseline,33.000000,2.600000,25.000000,52.500000,47.420723,1024.000000,-1,fifo,39.600000,0.017534,0,0.000000,-4.742072
302,12:37:26,baseline,7.000000,2.600000,53.800000,66.900000,51.316578,2048.000000,-1,fifo,8.400000,0.015825,0,0.000000,-5.131658
32,12:37:26,baseline,56.000000,2.600000,0.000000,40.000000,49.053262,1024.000000,-1,fifo,67.200000,0.013866,0,0.000000,-4.905326
30,12:37:26,baseline,32.000000,2.700000,0.000000,40.000000,47.242610,2048.000000,-1,fifo,38.400000,0.014111,0,0.000000,-4.724261
281,12:37:26,baseline,9.000000,2.700000,0.000000,40.000000,45.794088,512.000000,-1,fifo,10.800000,0.013843,0,0.000000,-4.579409
29,12:37:26,baseline,6.000000,2.700000,0.000000,40.000000,44.635270,256.000000,-1,fifo,7.200000,0.013862,0,0.000000,-4.463527
59,12:37:26,baseline,51.000000,2.700000,0.000000,40.000000,43.708216,4096.000000,-1,fifo,61.200000,0.013898,0,0.000000,-4.370822
158,12:37:26,baseline,14.000000,2.700000,0.000000,40.000000,42.966573,256.000000,-1,fifo,16.800000,0.016601,0,0.000000,-4.296657
28,12:37:26,baseline,40.000000,2.800000,0.000000,40.000000,42.373258,1024.000000,-1,fifo,48.000000,0.013870,0,0.000000,-4.237326
92,12:37:26,baseline,17.000000,2.800000,0.000000,40.000000,41.898607,512.000000,-1,fifo,20.400000,0.013906,0,0.000000,-4.189861
277,12:37:26,baseline,13.000000,2.800000,0.000000,40.000000,41.518885,512.000000,-1,fifo,15.600000,0.013865,0,0.000000,-4.151889
406,12:37:27,baseline,49.000000,2.900000,0.000000,40.000000,41.215108,1024.000000,-1,fifo,58.800000,0.013867,0,0.000000,-4.121511
127,12:37:27,baseline,54.000000,2.900000,0.000000,40.000000,40.972087,4096.000000,-1,fifo,64.800000,0.015529,0,0.000000,-4.097209
408,12:37:27,baseline,25.000000,2.900000,0.000000,40.000000,40.777669,512.000000,-1,fifo,30.000000,0.014143,0,0.000000,-4.077767
212,12:37:27,baseline,20.000000,2.900000,8.300000,44.150000,41.452135,512.000000,-1,fifo,24.000000,0.013971,0,0.000000,-4.145214
