temp_component,sla_component,cost_component
4.0,0.0,0.0256
4.0,0.0,0.0256
4.0,0.0,0.0512
9.0,0.0,0.2048
9.0,0.0,0.0512
8.435,0.0,0.0512
9.0,0.0,0.4096
7.455,0.0,0.0512
7.435,0.0,0.2048
7.185,0.0,0.0512
7.335,0.0,0.2048
7.025,0.0,0.1024
7.2700000000000005,0.0,0.1024
7.055,0.0,0.1024
8.15,0.0,0.4096
7.800000000000001,0.0,0.0256
6.705,0.0,0.0256
6.78,0.0,0.0256
6.8950000000000005,0.0,0.4096
7.455,0.0,0.0512
7.2700000000000005,0.0,0.2048
7.31,0.0,0.2048
6.48,0.0,0.1024
7.505,0.0,0.0512
7.545000000000001,0.0,0.0512
7.8500000000000005,0.0,0.2048
5.54,0.0,0.2048
5.54,0.0,0.0256
7.2,0.0,0.2048
5.565,0.0,0.0256
8.195,0.0,0.4096
5.68,0.0,0.2048
5.82,0.0,0.4096
5.505,0.0,0.2048
5.390000000000001,0.0,0.4096
5.535,0.0,0.2048
5.970000000000001,0.0,0.0512
6.445,0.0,0.0256
5.405,0.0,0.0256
6.0600000000000005,0.0,0.1024
6.24,0.0,0.1024
5.640000000000001,2.0,0.1024
5.49,0.0,0.4096
5.2700000000000005,0.0,0.4096
5.915,0.0,0.4096
5.715,0.0,0.0512
5.4750000000000005,0.0,0.0512
5.68,2.0,0.4096
5.25,0.0,0.0256
7.265000000000001,0.0,0.4096
5.345000000000001,0.0,0.0256
5.69,0.0,0.1024
5.405,0.0,0.0512
5.375,0.0,0.4096
5.455,0.0,0.0512
5.83,0.0,0.1024
5.53,0.0,0.1024
5.535,0.0,0.0512
6.215,0.0,0.0256
5.605,0.0,0.0256
5.640000000000001,0.0,0.0512
5.485,0.0,0.0512
5.29,0.0,0.4096
5.390000000000001,0.0,0.1024
5.69,0.0,0.0512
5.385000000000001,0.0,0.4096
5.505,0.0,0.0256
5.1850000000000005,0.0,0.0256
5.485,2.0,0.0512
5.5200000000000005,0.0,0.0256
5.285,0.0,0.1024
5.365,0.0,0.0512
5.45,0.0,0.0512
5.915,0.0,0.4096
5.640000000000001,0.0,0.1024
5.495000000000001,0.0,0.2048
5.5600000000000005,0.0,0.2048
5.405,0.0,0.1024
5.915,0.0,0.0256
5.620000000000001,0.0,0.4096
5.525,0.0,0.0256
5.54,0.0,0.4096
5.715,0.0,0.0256
5.260000000000001,0.0,0.2048
5.43,0.0,0.2048
5.370000000000001,0.0,0.2048
5.155,0.0,0.0512
5.575,0.0,0.2048
5.295000000000001,0.0,0.1024
5.970000000000001,0.0,0.2048
5.355,0.0,0.1024
5.5600000000000005,0.0,0.1024
5.595000000000001,0.0,0.1024
5.605,0.0,0.2048
5.370000000000001,0.0,0.4096
5.1850000000000005,0.0,0.2048
5.495000000000001,0.0,0.0512
5.48,0.0,0.2048
5.355,0.0,0.4096
5.375,0.0,0.0256
