episode,reward
1,-510.4562000000002
2,-520.4426000000001
3,-513.6426000000001
4,-523.9825999999999
5,-521.1526000000001
6,-514.7726
7,-523.1276000000003
8,-516.0926
9,-617.0626000000003
10,-662.6926000000001
